index,query_id,score,relevant,id,file_id,table_id,model
0,1,0.1,False,2302.12156_S5.T1,2302.12156,S5.T1,llama3_1
0,2,0.0,False,2302.12156_S5.T1,2302.12156,S5.T1,llama3_1
0,3,0.0,False,2302.12156_S5.T1,2302.12156,S5.T1,llama3_1
0,4,0.1,False,2302.12156_S5.T1,2302.12156,S5.T1,llama3_1
0,5,0.0,False,2302.12156_S5.T1,2302.12156,S5.T1,llama3_1
0,6,0.0,False,2302.12156_S5.T1,2302.12156,S5.T1,llama3_1
0,7,0.0,False,2302.12156_S5.T1,2302.12156,S5.T1,llama3_1
0,8,0.0,False,2302.12156_S5.T1,2302.12156,S5.T1,llama3_1
0,9,0.0,False,2302.12156_S5.T1,2302.12156,S5.T1,llama3_1
0,10,0.0,False,2302.12156_S5.T1,2302.12156,S5.T1,llama3_1
1,1,0.0,False,2007.12004_S6.T1,2007.12004,S6.T1,llama3_1
1,2,0.0,False,2007.12004_S6.T1,2007.12004,S6.T1,llama3_1
1,3,0.0,False,2007.12004_S6.T1,2007.12004,S6.T1,llama3_1
1,4,0.1,False,2007.12004_S6.T1,2007.12004,S6.T1,llama3_1
1,5,0.0,False,2007.12004_S6.T1,2007.12004,S6.T1,llama3_1
1,6,0.0,False,2007.12004_S6.T1,2007.12004,S6.T1,llama3_1
1,7,0.0,False,2007.12004_S6.T1,2007.12004,S6.T1,llama3_1
1,8,0.8,True,2007.12004_S6.T1,2007.12004,S6.T1,llama3_1
1,9,0.0,False,2007.12004_S6.T1,2007.12004,S6.T1,llama3_1
1,10,0.0,False,2007.12004_S6.T1,2007.12004,S6.T1,llama3_1
2,1,0.0,False,2409.08498v1_S1.T1,2409.08498v1,S1.T1,llama3_1
2,2,0.0,False,2409.08498v1_S1.T1,2409.08498v1,S1.T1,llama3_1
2,3,0.0,False,2409.08498v1_S1.T1,2409.08498v1,S1.T1,llama3_1
2,4,0.1,False,2409.08498v1_S1.T1,2409.08498v1,S1.T1,llama3_1
2,5,0.85,True,2409.08498v1_S1.T1,2409.08498v1,S1.T1,llama3_1
2,6,0.0,False,2409.08498v1_S1.T1,2409.08498v1,S1.T1,llama3_1
2,7,0.0,False,2409.08498v1_S1.T1,2409.08498v1,S1.T1,llama3_1
2,8,0.0,False,2409.08498v1_S1.T1,2409.08498v1,S1.T1,llama3_1
2,9,0.0,False,2409.08498v1_S1.T1,2409.08498v1,S1.T1,llama3_1
2,10,0.0,False,2409.08498v1_S1.T1,2409.08498v1,S1.T1,llama3_1
3,1,0.0,False,2409.08498v1_S4.T2,2409.08498v1,S4.T2,llama3_1
3,2,0.0,False,2409.08498v1_S4.T2,2409.08498v1,S4.T2,llama3_1
3,3,0.0,False,2409.08498v1_S4.T2,2409.08498v1,S4.T2,llama3_1
3,4,0.0,False,2409.08498v1_S4.T2,2409.08498v1,S4.T2,llama3_1
3,5,0.85,True,2409.08498v1_S4.T2,2409.08498v1,S4.T2,llama3_1
3,6,0.0,False,2409.08498v1_S4.T2,2409.08498v1,S4.T2,llama3_1
3,7,0.0,False,2409.08498v1_S4.T2,2409.08498v1,S4.T2,llama3_1
3,8,0.0,False,2409.08498v1_S4.T2,2409.08498v1,S4.T2,llama3_1
3,9,0.8,True,2409.08498v1_S4.T2,2409.08498v1,S4.T2,llama3_1
3,10,0.0,False,2409.08498v1_S4.T2,2409.08498v1,S4.T2,llama3_1
4,1,0.0,False,2409.08498v1_S4.T3,2409.08498v1,S4.T3,llama3_1
4,2,0.0,False,2409.08498v1_S4.T3,2409.08498v1,S4.T3,llama3_1
4,3,0.0,False,2409.08498v1_S4.T3,2409.08498v1,S4.T3,llama3_1
4,4,0.0,False,2409.08498v1_S4.T3,2409.08498v1,S4.T3,llama3_1
4,5,0.0,False,2409.08498v1_S4.T3,2409.08498v1,S4.T3,llama3_1
4,6,0.0,False,2409.08498v1_S4.T3,2409.08498v1,S4.T3,llama3_1
4,7,0.0,False,2409.08498v1_S4.T3,2409.08498v1,S4.T3,llama3_1
4,8,0.0,False,2409.08498v1_S4.T3,2409.08498v1,S4.T3,llama3_1
4,9,0.7,True,2409.08498v1_S4.T3,2409.08498v1,S4.T3,llama3_1
4,10,0.0,False,2409.08498v1_S4.T3,2409.08498v1,S4.T3,llama3_1
5,1,0.0,False,2409.08498v1_S4.T4,2409.08498v1,S4.T4,llama3_1
5,2,0.0,False,2409.08498v1_S4.T4,2409.08498v1,S4.T4,llama3_1
5,3,0.2,False,2409.08498v1_S4.T4,2409.08498v1,S4.T4,llama3_1
5,4,0.0,False,2409.08498v1_S4.T4,2409.08498v1,S4.T4,llama3_1
5,5,0.2,False,2409.08498v1_S4.T4,2409.08498v1,S4.T4,llama3_1
5,6,0.0,False,2409.08498v1_S4.T4,2409.08498v1,S4.T4,llama3_1
5,7,0.0,False,2409.08498v1_S4.T4,2409.08498v1,S4.T4,llama3_1
5,8,0.0,False,2409.08498v1_S4.T4,2409.08498v1,S4.T4,llama3_1
5,9,0.0,False,2409.08498v1_S4.T4,2409.08498v1,S4.T4,llama3_1
5,10,0.0,False,2409.08498v1_S4.T4,2409.08498v1,S4.T4,llama3_1
6,1,0.0,False,2409.08498v1_S5.T5,2409.08498v1,S5.T5,llama3_1
6,2,0.0,False,2409.08498v1_S5.T5,2409.08498v1,S5.T5,llama3_1
6,3,0.0,False,2409.08498v1_S5.T5,2409.08498v1,S5.T5,llama3_1
6,4,0.1,False,2409.08498v1_S5.T5,2409.08498v1,S5.T5,llama3_1
6,5,0.8,True,2409.08498v1_S5.T5,2409.08498v1,S5.T5,llama3_1
6,6,0.0,False,2409.08498v1_S5.T5,2409.08498v1,S5.T5,llama3_1
6,7,0.0,False,2409.08498v1_S5.T5,2409.08498v1,S5.T5,llama3_1
6,8,0.0,False,2409.08498v1_S5.T5,2409.08498v1,S5.T5,llama3_1
6,9,0.0,False,2409.08498v1_S5.T5,2409.08498v1,S5.T5,llama3_1
6,10,0.0,False,2409.08498v1_S5.T5,2409.08498v1,S5.T5,llama3_1
7,1,0.0,False,2409.08498v1_S5.T6,2409.08498v1,S5.T6,llama3_1
7,2,0.0,False,2409.08498v1_S5.T6,2409.08498v1,S5.T6,llama3_1
7,3,0.0,False,2409.08498v1_S5.T6,2409.08498v1,S5.T6,llama3_1
7,4,0.0,False,2409.08498v1_S5.T6,2409.08498v1,S5.T6,llama3_1
7,5,0.8,True,2409.08498v1_S5.T6,2409.08498v1,S5.T6,llama3_1
7,6,0.0,False,2409.08498v1_S5.T6,2409.08498v1,S5.T6,llama3_1
7,7,0.0,False,2409.08498v1_S5.T6,2409.08498v1,S5.T6,llama3_1
7,8,0.0,False,2409.08498v1_S5.T6,2409.08498v1,S5.T6,llama3_1
7,9,0.0,False,2409.08498v1_S5.T6,2409.08498v1,S5.T6,llama3_1
7,10,0.0,False,2409.08498v1_S5.T6,2409.08498v1,S5.T6,llama3_1
8,1,0.0,False,2409.08498v1_S5.T7,2409.08498v1,S5.T7,llama3_1
8,2,0.0,False,2409.08498v1_S5.T7,2409.08498v1,S5.T7,llama3_1
8,3,0.0,False,2409.08498v1_S5.T7,2409.08498v1,S5.T7,llama3_1
8,4,0.1,False,2409.08498v1_S5.T7,2409.08498v1,S5.T7,llama3_1
8,5,0.8,True,2409.08498v1_S5.T7,2409.08498v1,S5.T7,llama3_1
8,6,0.1,False,2409.08498v1_S5.T7,2409.08498v1,S5.T7,llama3_1
8,7,0.0,False,2409.08498v1_S5.T7,2409.08498v1,S5.T7,llama3_1
8,8,0.0,False,2409.08498v1_S5.T7,2409.08498v1,S5.T7,llama3_1
8,9,0.0,False,2409.08498v1_S5.T7,2409.08498v1,S5.T7,llama3_1
8,10,0.2,False,2409.08498v1_S5.T7,2409.08498v1,S5.T7,llama3_1
9,1,0.0,False,2409.08498v1_S5.T8,2409.08498v1,S5.T8,llama3_1
9,2,0.0,False,2409.08498v1_S5.T8,2409.08498v1,S5.T8,llama3_1
9,3,0.0,False,2409.08498v1_S5.T8,2409.08498v1,S5.T8,llama3_1
9,4,0.1,False,2409.08498v1_S5.T8,2409.08498v1,S5.T8,llama3_1
9,5,0.8,True,2409.08498v1_S5.T8,2409.08498v1,S5.T8,llama3_1
9,6,0.0,False,2409.08498v1_S5.T8,2409.08498v1,S5.T8,llama3_1
9,7,0.0,False,2409.08498v1_S5.T8,2409.08498v1,S5.T8,llama3_1
9,8,0.0,False,2409.08498v1_S5.T8,2409.08498v1,S5.T8,llama3_1
9,9,0.0,False,2409.08498v1_S5.T8,2409.08498v1,S5.T8,llama3_1
9,10,0.0,False,2409.08498v1_S5.T8,2409.08498v1,S5.T8,llama3_1
10,1,0.0,False,2409.08498v1_S5.T10,2409.08498v1,S5.T10,llama3_1
10,2,0.0,False,2409.08498v1_S5.T10,2409.08498v1,S5.T10,llama3_1
10,3,0.0,False,2409.08498v1_S5.T10,2409.08498v1,S5.T10,llama3_1
10,4,0.1,False,2409.08498v1_S5.T10,2409.08498v1,S5.T10,llama3_1
10,5,0.0,False,2409.08498v1_S5.T10,2409.08498v1,S5.T10,llama3_1
10,6,0.2,False,2409.08498v1_S5.T10,2409.08498v1,S5.T10,llama3_1
10,7,0.0,False,2409.08498v1_S5.T10,2409.08498v1,S5.T10,llama3_1
10,8,0.8,True,2409.08498v1_S5.T10,2409.08498v1,S5.T10,llama3_1
10,9,0.8,True,2409.08498v1_S5.T10,2409.08498v1,S5.T10,llama3_1
10,10,0.0,False,2409.08498v1_S5.T10,2409.08498v1,S5.T10,llama3_1
11,1,0.0,False,2409.08498v1_S5.T11,2409.08498v1,S5.T11,llama3_1
11,2,0.0,False,2409.08498v1_S5.T11,2409.08498v1,S5.T11,llama3_1
11,3,0.0,False,2409.08498v1_S5.T11,2409.08498v1,S5.T11,llama3_1
11,4,0.1,False,2409.08498v1_S5.T11,2409.08498v1,S5.T11,llama3_1
11,5,0.0,False,2409.08498v1_S5.T11,2409.08498v1,S5.T11,llama3_1
11,6,0.8,True,2409.08498v1_S5.T11,2409.08498v1,S5.T11,llama3_1
11,7,0.0,False,2409.08498v1_S5.T11,2409.08498v1,S5.T11,llama3_1
11,8,0.0,False,2409.08498v1_S5.T11,2409.08498v1,S5.T11,llama3_1
11,9,0.8,True,2409.08498v1_S5.T11,2409.08498v1,S5.T11,llama3_1
11,10,0.0,False,2409.08498v1_S5.T11,2409.08498v1,S5.T11,llama3_1
12,1,0.0,False,2409.08498v1_A1.T12,2409.08498v1,A1.T12,llama3_1
12,2,0.0,False,2409.08498v1_A1.T12,2409.08498v1,A1.T12,llama3_1
12,3,0.0,False,2409.08498v1_A1.T12,2409.08498v1,A1.T12,llama3_1
